id,position,name,score,ratings,category,category,full_address,zip_code,lat,lng
31,101,Hollywood Grill #2,,,"Black-owned, Burgers, Comfort Food, Wings, Exclusive to Eats","Black-owned, Burgers, Comfort Food, Wings, Exclusive to Eats","811 Illinios Rd, Birmingham, AL, 35221",35221,33.4404105,-86.9068596
32,96,Allstar Diner,,,"Ice Cream &amp; Frozen Yogurt, Comfort Food, Desserts, Exclusive to Eats","Ice Cream &amp; Frozen Yogurt, Comfort Food, Desserts, Exclusive to Eats","5704 Birmingport Rd, Sylvan Springs, AL, 35118",35118,33.508498,-87.030447
33,88,Wings R King Express,,,"Salads, Sandwich, Wings, Burgers, Seafood, Healthy, Black-owned","Salads, Sandwich, Wings, Burgers, Seafood, Healthy, Black-owned","1137 Arkadelphia Road, Birmingham, AL, 35204",35204,33.52272,-86.84984
34,81,Gus's Hot Dogs,,,Hot Dog,Hot Dog,"14 Rex Ln, Adamsville, AL, 35005",35005,33.58787,-86.9364
35,80,Starbucks (Hwy 11 and Avenue W),4.6,21,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea","Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea","2401 Crossplex Boulevard 101, Birmingham, AL, 35208",35208,33.4979443,-86.8743905
36,77,"Moe's Southwest Grill (655 Fieldstown Road, Suite #158)",4.8,24,"Mexican, Fast Food, Salads, Healthy","Mexican, Fast Food, Salads, Healthy","655 Fieldstown Road, Gardendale, AL, 35071",35071,33.6497578,-86.8239419
37,66,La Tia Paisa Taco Shop,4.3,24,"Mexican, Breakfast and Brunch, Burritos","Mexican, Breakfast and Brunch, Burritos","406 W Valley Ave, Homewood, AL, 35209",35209,33.47075,-86.82614
38,61,CHOP N FRESH,4.8,39,"Salads, Vegetarian, Bowls","Salads, Vegetarian, Bowls","291 Rele Street, Mountain Brook, AL, 35223",35223,33.48604,-86.77366
39,56,Underground Vegan,4.8,62,"Vegan, Healthy, Vegetarian","Vegan, Healthy, Vegetarian","2012 Magnolia Avenue South R3, Birmingham, AL, 35205",35205,33.5009,-86.79627
40,51,Cicis (808 Greensprings Highway Suite 132),4.4,21,pizza,pizza,"808 Green Springs Highway, Homewood, AL, 35209",35209,33.460857,-86.819214
41,15,McAlister's Deli  (1801 4th Avenue South),4.7,100,"Sandwich, Salads, Healthy, Family Meals","Sandwich, Salads, Healthy, Family Meals","1801 4th Ave S, Birmingham, AL, 35233",35233,33.50715,-86.80399
42,13,"Firehouse Subs (3477  Lowery Parkway, Suite 115)",4.7,23,"Sandwich, Deli","Sandwich, Deli","3477  Lowery Parkway, Suite 115, Fultondale, AL, 35068",35068,33.6052125,-86.8056205
43,9,Taco Bell (2300 Bessemer Rd.),4.1,91,"Burritos, Fast Food, Mexican","Burritos, Fast Food, Mexican","2300 Bessemer Rd., Birmingham, AL, 35208",35208,33.4979239,-86.8757924
44,7,Dreamcakes Bakery,4.9,17,"Bakery, Desserts, Exclusive to Eats","Bakery, Desserts, Exclusive to Eats","960 Oxmoor Rd, Birmingham, AL, 35209",35209,33.473785,-86.808536
45,25,The Baisakhi Dhaba,,,"Indian, Pasta, Pizza","Indian, Pasta, Pizza","1801 4th Ave S, Birmingham, AL, 35233-1944",35233-1944,33.50761,-86.80482
46,21,Veggie Mania,,,"Vegetarian, Vegan, Indian, Pakistani, Indian Curry","Vegetarian, Vegan, Indian, Pakistani, Indian Curry","1024 20th Street South unit 101, Birmingham, AL, 35205",35205,33.5009,-86.7969
47,20,Silver Kati,,,"Indian, Vegetarian, Asian, Healthy","Indian, Vegetarian, Asian, Healthy","1821 N 2nd Ave, Birmingham, AL, 35203",35203,33.5142912,-86.8078778
48,9,China Master Express,4.6,28,"Chinese, Comfort Food","Chinese, Comfort Food","1801 4th Ave S, Birmingham, AL, 35233",35233,33.50761,-86.80482
49,74,"Pasta La Vista, Baby",,,"Italian, Pasta, Comfort Food","Italian, Pasta, Comfort Food","1623 2nd Avenue North, Birmingham, AL, 35203",35203,33.512981,-86.810616
50,73,Taziki's Mediterranean Café (2737 Highway 280 South),,,"Healthy, Sandwich, Soup","Healthy, Sandwich, Soup","2737 Highway 280 South, Birmingham, AL, 35223",35223,33.47991,-86.77426
51,70,China 1,,,"Chinese, Chicken, Noodles","Chinese, Chicken, Noodles","357 Walker Chapel Plz, Fultondale, AL, 35068",35068,33.61121,-86.79742
52,68,Veggie Wonderland,,,"Indian, Vegetarian, Vegan, Indian Curry, Healthy","Indian, Vegetarian, Vegan, Indian Curry, Healthy","1024 20th Street South Unit 101, Birmingham, AL, 35205",35205,33.5009,-86.7969
53,65,Chez Lulu,4.3,29,"French, Pizza, Salads, Sandwich, Healthy, Desserts","French, Pizza, Salads, Sandwich, Healthy, Desserts","1911 Cahaba Rd, Birmingham, AL, 35223",35223,33.4955577,-86.7814333
54,64,Bayleaf Authentic Indian Cuisine,4.7,56,"Indian, Vegetarian, Asian, Healthy","Indian, Vegetarian, Asian, Healthy","1024 20th St S, 101, Birmingham, AL, 35205",35205,33.5009661,-86.7968513
55,63,Sushi Village (Crestwood Blvd),4.8,100,"Sushi, Asian, Japanese","Sushi, Asian, Japanese","7001 Crestwood Boulevard, Birmingham, AL, 35213",35213,33.52812,-86.72866
56,61,Great Wall Chinese Restaurant,4.6,100,"Chinese, Seafood, Noodles","Chinese, Seafood, Noodles","706 Valley Ave, Birmingham, AL, 35209",35209,33.4764166,-86.8156829
57,56,Yoe Xpress (28th Ave S),4.5,35,"Chinese, Asian, Cantonese","Chinese, Asian, Cantonese","1919 28th Ave S, Birmingham, AL, 35209",35209,33.48093,-86.78783
58,55,Yoe Express,,,"Chinese, Asian, Asian Fusion","Chinese, Asian, Asian Fusion","1919 28th Ave S, Homewood, AL, 35209",35209,33.48093,-86.78783
59,53,Kumo Sushi &amp; Asian,,,"Sushi, Asian, Japanese","Sushi, Asian, Japanese","835 Odum Rd #107, Gardendale, AL, 35071",35071,33.64613,-86.82696
60,51,Chuck E. Cheese (500 Old Town Rd),,,Pizza,Pizza,"500 Old Town Rd, Birmingham, AL, 35216",35216,33.419761,-86.798175
61,50,Magic Wok,4.6,61,"Chinese, Vegetarian, Soup","Chinese, Vegetarian, Soup","401 19th St S, Birmingham, AL, 35233",35233,33.50805,-86.80287
62,49,Moon Star Chinese Asian &amp; Wings,4.3,79,"Chinese, Asian","Chinese, Asian","191 W Valley Ave, Homewood, AL, 35209",35209,33.4648283,-86.83722
